time,event,customer_id,queue_length,busy_servers,system_size
4781.201129035453,service_start,4341,12,2,14
4782.032430461642,arrival,4354,13,2,15
4782.033695717135,departure,4338,13,1,14
4782.033695717135,service_start,4342,12,2,14
4782.051921650482,departure,4341,12,1,13
4782.051921650482,service_start,4343,11,2,13
4782.179031374567,arrival,4355,12,2,14
4782.458007959139,departure,4342,12,1,13
4782.458007959139,service_start,4344,11,2,13
4782.474053150753,arrival,4356,12,2,14
4782.931658691061,arrival,4357,13,2,15
4783.376249988642,departure,4343,13,1,14
4783.376249988642,service_start,4345,12,2,14
4784.285733169551,departure,4344,12,1,13
4784.285733169551,service_start,4346,11,2,13
4784.449766982902,departure,4346,11,1,12
4784.449766982902,service_start,4347,10,2,12
4784.4678468071015,departure,4345,10,1,11
4784.4678468071015,service_start,4348,9,2,11
4784.470744540918,departure,4348,9,1,10
4784.470744540918,service_start,4349,8,2,10
4785.21120133309,arrival,4358,9,2,11
4786.907641854186,departure,4347,9,1,10
4786.907641854186,service_start,4350,8,2,10
4786.925488157259,arrival,4359,9,2,11
4787.474587770811,departure,4350,9,1,10
4787.474587770811,service_start,4351,8,2,10
4788.037630774542,arrival,4360,9,2,11
4788.224149541209,arrival,4361,10,2,12
4788.274694174736,arrival,4362,11,2,13
4788.53786546724,departure,4351,11,1,12
4788.53786546724,service_start,4352,10,2,12
4789.092828175028,arrival,4363,11,2,13
4789.363222762795,arrival,4364,12,2,14
4789.488024576257,arrival,4365,13,2,15
4789.620153261514,arrival,4366,14,2,16
4790.263084020794,arrival,4367,15,2,17
4790.471844952907,departure,4352,15,1,16
4790.471844952907,service_start,4353,14,2,16
4792.466240467718,departure,4349,14,1,15
4792.466240467718,service_start,4354,13,2,15
4792.9457134579725,departure,4353,13,1,14
4792.9457134579725,service_start,4355,12,2,14
4793.933795815195,departure,4354,12,1,13
4793.933795815195,service_start,4356,11,2,13
4794.949941246109,arrival,4368,12,2,14
4795.2649002960925,departure,4356,12,1,13
4795.2649002960925,service_start,4357,11,2,13
4795.59546857294,departure,4357,11,1,12
4795.59546857294,service_start,4358,10,2,12
4795.690483217904,departure,4355,10,1,11
4795.690483217904,service_start,4359,9,2,11
4796.097622332837,arrival,4369,10,2,12
4796.779735674198,departure,4359,10,1,11
4796.779735674198,service_start,4360,9,2,11
4797.196612482879,arrival,4370,10,2,12
4797.706263064457,arrival,4371,11,2,13
4798.040972964331,arrival,4372,12,2,14
4798.248553668228,arrival,4373,13,2,15
4799.357801100037,arrival,4374,14,2,16
4800.491756873997,arrival,4375,15,2,17
4800.563526361879,arrival,4376,16,2,18
4800.7590076075985,departure,4360,16,1,17
4800.7590076075985,service_start,4361,15,2,17
4801.622815598961,departure,4358,15,1,16
4801.622815598961,service_start,4362,14,2,16
4802.066694325482,departure,4361,14,1,15
4802.066694325482,service_start,4363,13,2,15
4802.791555203956,arrival,4377,14,2,16
4803.446845874241,arrival,4378,15,2,17
4803.595483149758,departure,4363,15,1,16
4803.595483149758,service_start,4364,14,2,16
4804.103579365131,departure,4362,14,1,15
4804.103579365131,service_start,4365,13,2,15
4805.2142749768245,departure,4365,13,1,14
4805.2142749768245,service_start,4366,12,2,14
4806.267992345621,departure,4364,12,1,13
4806.267992345621,service_start,4367,11,2,13
4806.799492279741,departure,4366,11,1,12
4806.799492279741,service_start,4368,10,2,12
4807.094774652311,departure,4368,10,1,11
4807.094774652311,service_start,4369,9,2,11
4807.132226949886,arrival,4379,10,2,12
4807.9556141287385,departure,4367,10,1,11
4807.9556141287385,service_start,4370,9,2,11
4808.313288432331,departure,4369,9,1,10
4808.313288432331,service_start,4371,8,2,10
4809.758542748558,departure,4370,8,1,9
4809.758542748558,service_start,4372,7,2,9
4810.062716769312,arrival,4380,8,2,10
4811.167057736804,arrival,4381,9,2,11
4811.195480582606,arrival,4382,10,2,12
4811.37467017881,departure,4372,10,1,11
4811.37467017881,service_start,4373,9,2,11
4811.9683019440245,departure,4371,9,1,10
4811.9683019440245,service_start,4374,8,2,10
4812.432368243888,departure,4373,8,1,9
4812.432368243888,service_start,4375,7,2,9
4813.330666933884,departure,4374,7,1,8
4813.330666933884,service_start,4376,6,2,8
4813.444688324131,departure,4376,6,1,7
4813.444688324131,service_start,4377,5,2,7
4813.989017427919,departure,4375,5,1,6
4813.989017427919,service_start,4378,4,2,6
